name,display_name,discipline,gender,min_age,max_age,sort_order,active
DE,Damer Elit,,F,,,10,1
F15-16,Flickor 15-16,,F,15,16,20,1
DJ,Damer Junior,,F,17,18,30,1
HE,Herrar Elit,,M,,,40,1
H45,Master Herrar 45+,,M,45,,50,1
MK,Motion Kids / Nybörjare,,,,,60,1
MM,Motion Mellan,,,,,70,1
F13-14,Flickor 13-14,,F,13,14,80,1
SML,Sportmotion Lång,,,,,90,1
SMEB,MTB E-Bike Sportmotion,,,,,100,1
P15-16,Pojkar 15-16,,M,15,16,110,1
HJ,Herrar Junior,,M,17,18,120,1
P13-14,Pojkar 13-14,,M,13,14,130,1
D35,Master Damer 35+,,F,35,,140,1
H35,Master Herrar 35+,,M,35,44,150,1
H19,Herrar 19,,M,19,19,160,1
D19,Damer 19,,F,19,19,170,1
